"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Thirumaa Valavan Thol","CHIDAMBARAM","Tamil Nadu","Lok Sabha",147000000,96815007,69998691,65.86,45,80,56.25,26816316,81,79,2,"N/A"
"JITAN RAM MANJHI","GAYA","Bihar","Lok Sabha",147000000,96708097,61586729,65.79,152,260,58.46,35121368,191,190,1,"N/A"
"Saumitra khan ","BISHNUPUR","West Bengal","Lok Sabha",147000000,96703695,57558347,65.78,48,82,58.54,39145348,52,49,3,"N/A"
"VISHWESHWAR HEGDE KAGERI","UTTARA KANNADA","Karnataka","Lok Sabha",147000000,96600000,34850000,65.71,30,143,20.98,61750000,85,82,3,"N/A"
"VINOD KUMAR BIND","BHADOHI","Uttar Pradesh","Lok Sabha",147000000,96578170,75517267,65.7,407,544,74.82,21060903,525,418,107,"N/A"
"JUNE MALIAH","MEDINIPUR","West Bengal","Lok Sabha",147000000,96497530,36949288,65.64,7,31,22.58,59548242,27,25,2,"N/A"
"Pralhad Venkatesh Joshi","DHARWAD","Karnataka","Lok Sabha",147000000,96324932,20761060,65.53,28,204,13.73,75563872,66,55,11,"N/A"
"Manickam Tagore B","VIRUDHUNAGAR","Tamil Nadu","Lok Sabha",147000000,96301542,90165437,65.51,69,86,80.23,6136105,93,93,0,"N/A"
"DR BYREDDY SHABARI","NANDYAL","Andhra Pradesh","Lok Sabha",150675889.11,98690498,50709419,65.5,70,198,35.35,47981079,116,116,0,"N/A"
"SAGAR ESHWAR KHANDRE","BIDAR","Karnataka","Lok Sabha",147000000,96254497,15422826,65.48,5,178,2.81,80831671,50,46,4,"N/A"
"Mala Roy ","KOLKATA DAKSHIN","West Bengal","Lok Sabha",147000000,96138946,61582788,65.4,32,75,42.67,34556158,65,64,1,"N/A"
"SUDHA R","MAYILADUTHURAI","Tamil Nadu","Lok Sabha",147332315.11,96229000,37515130,65.31,23,149,15.44,58713870,53,38,15,"N/A"
"ADHIKARI SOUMENDU","KANTHI","West Bengal","Lok Sabha",147000000,95934382,38304241,65.26,29,70,41.43,57630141,31,31,0,"N/A"
"Shri Abhishek Banerjee","DIAMOND HARBOUR","West Bengal","Lok Sabha",147000000,95717514,71510891,65.11,200,320,62.5,24206623,262,262,0,"N/A"
"MANJU SHARMA","JAIPUR","Rajasthan","Lok Sabha",167082901.11,108787769,21994861,65.11,13,69,18.84,86792908,29,28,1,"N/A"
"DAROGA PRASAD SAROJ","LALGANJ","Uttar Pradesh","Lok Sabha",147000000,95667378,82499872,65.08,58,294,19.73,13167506,282,253,29,"N/A"
"DHARMENDRA YADAV","AZAMGARH","Uttar Pradesh","Lok Sabha",147000000,95526844,61248647,64.98,16,67,23.88,34278197,53,50,3,"N/A"
"H.D. KUMARASWAMY","MANDYA","Karnataka","Lok Sabha",147000000,95500000,46075000,64.97,7,147,4.76,49425000,130,117,13,"N/A"
"G. KUMAR NAIK","RAICHUR","Karnataka","Lok Sabha",147000000,95495548,24271564,64.96,9,128,7.03,71223984,48,44,4,"N/A"
"Kalyan Banerjee","SREERAMPUR","West Bengal","Lok Sabha",147000000,95384010,76719145,64.89,84,119,70.59,18664865,110,110,0,"N/A"
"KRITI DEVI DEBBARMAN","TRIPURA EAST","Tripura","Lok Sabha",147000000,95286310,32934783,64.82,13,42,30.95,62351527,24,24,0,"N/A"
"PRAVEEN PATEL","PHULPUR","Uttar Pradesh","Lok Sabha",151559884.09,98136533,95102075,64.75,14,24,58.33,3034458,37,35,2,"N/A"
"CAPTAIN BRIJESH CHOWTA","DAKSHINA KANNADA","Karnataka","Lok Sabha",147000000,95117059,52228767,64.71,75,206,36.41,42888292,108,95,13,"N/A"
"Smt Sajda Ahmed","ULUBERIA","West Bengal","Lok Sabha",147000000,94947352,47622814,64.59,92,174,52.87,47324538,113,109,4,"N/A"
"Shri M K Raghavan","KOZHIKODE","Kerala","Lok Sabha",147000000,94826385,9365325,64.51,15,268,5.6,85461060,26,26,0,"N/A"
"Shri Arjun Ram Meghwal","BIKANER","Rajasthan","Lok Sabha",147000000,94811888,34147300,64.5,17,76,22.37,60664588,46,43,3,"N/A"
"ABHIJIT GANGOPADHYAY","TAMLUK","West Bengal","Lok Sabha",147000000,94805281.78,41397394.78,64.49,74,265,27.92,53407887,128,122,6,"N/A"
"Andimuthu Raja","NILGIRIS","Tamil Nadu","Lok Sabha",147000000,94783219,71485310,64.48,73,114,64.04,23297909,87,87,0,"N/A"
"GM Harish Balayogi","AMALAPURAM","Andhra Pradesh","Lok Sabha",147000000,94713343,54891857,64.43,41,108,37.96,39821486,68,66,2,"N/A"
"ARUP CHAKRABORTY","BANKURA","West Bengal","Lok Sabha",147000000,94625897,55795450,64.37,40,70,57.14,38830447,42,42,0,"N/A"
"Dr Shashi Tharoor","THIRUVANANTHAPURAM","Kerala","Lok Sabha",147000000,94591330,41754577,64.35,40,114,35.09,52836753,61,61,0,"N/A"
"Kiren Rijiju","ARUNACHAL WEST","Arunachal Pradesh","Lok Sabha",147000000,94263249,87533016,64.12,114,131,87.02,6730233,162,156,6,"N/A"
"Kangana Ranaut","MANDI","Himachal Pradesh","Lok Sabha",147000000,94241903,56986009,64.11,73,316,23.1,37255894,395,328,67,"N/A"
"PRABHAKAR REDDY VEMIREDDY","NELLORE","Andhra Pradesh","Lok Sabha",147000000,94235727,73610054,64.11,126,153,82.35,20625673,136,136,0,"N/A"
"Shri Sarbananda Sonowal (18LS)","DIBRUGARH","Assam","Lok Sabha",147000000,94042773,23919705,63.97,3,87,3.45,70123068,63,63,0,"N/A"
"JAGADISH SHETTAR","BELGAUM","Karnataka","Lok Sabha",147000000,94000000,10222651,63.95,1,172,0.58,83777349,30,28,2,"N/A"
"PRIYANKA SATISH JARKIHOLI","CHIKKODI","Karnataka","Lok Sabha",147000000,93670772,18773055,63.72,16,159,10.06,74897717,38,34,4,"N/A"
"Krishna Prasad Tenneti","BAPATLA","Andhra Pradesh","Lok Sabha",167796849.11,106632500,18515817,63.55,6,124,4.84,88116683,25,21,4,"N/A"
"AMBICA G LAKSHMINARAYANA VALMIKI","ANANTAPUR","Andhra Pradesh","Lok Sabha",201899064.11,128194365,62202871,63.49,42,155,27.1,65991494,81,81,0,"N/A"
"AMRINDER SINGH RAJA WARRING","LUDHIANA","Punjab","Lok Sabha",147000000,93219872,34113487,63.41,59,242,24.38,59106385,329,326,3,"N/A"
"LUMBARAM","JALORE","Rajasthan","Lok Sabha",147000000,93201156,61556876,63.4,79,179,44.13,31644280,610,609,1,"N/A"
"AVIMANYU SETHI","BHADRAK","Odisha","Lok Sabha",147000000,92895000,23316575,63.19,27,278,9.71,69578425,73,65,8,"N/A"
"Shri Narendra Modi","VARANASI","Uttar Pradesh","Lok Sabha",162070276.11,102171252,89119541,63.04,192,216,88.89,13051711,192,155,37,"N/A"
"DR KALGE SHIVAJI BANDAPPA","LATUR","Maharashtra","Lok Sabha",147000000,92583651,28846420,62.98,26,117,22.22,63737231,34,33,1,"N/A"
"Shri  Dharambir Singh","BHIWANI MAHENDRAGARH","Haryana","Lok Sabha",147000000,92507587,66166803,62.93,103,204,50.49,26340784,187,185,2,"N/A"
"ZIA UR REHMAN","SAMBHAL","Uttar Pradesh","Lok Sabha",147000000,92403610.85,53111753,62.86,0,325,0,39291857.849999994,332,316,16,"N/A"
"Anurag Sharma ","JHANSI","Uttar Pradesh","Lok Sabha",147000000,92350864,67201462,62.82,85,162,52.47,25149402,242,235,7,"N/A"
"AGA SYED RUHULLAH MEHDI","SRINAGAR","Jammu And Kashmir","Lok Sabha",147000000,91972368.1,20822671,62.57,62,199,31.16,71149697.1,80,65,15,"N/A"
"Vijay Kumar Hansdak","RAJMAHAL","Jharkhand","Lok Sabha",147223957.11,91979000,28886697,62.48,0,468,0,63092303,302,302,0,"N/A"
"CHANDRA SHEKHAR","NAGINA","Uttar Pradesh","Lok Sabha",147000000,91755170,87033825,62.42,286,507,56.41,4721345,893,784,109,"N/A"
"RABINDRA NARAYAN BEHERA","JAJPUR","Odisha","Lok Sabha",147064617.11,91739853,9146086,62.38,3,203,1.48,82593767,41,41,0,"N/A"
"CHAMALA KIRAN KUMAR REDDY","BHONGIR","Telangana","Lok Sabha",147000000,91661853,62689273,62.36,417,495,84.24,28972580,434,434,0,"N/A"
"SUNIL BOSE","CHAMARAJANAGAR","Karnataka","Lok Sabha",147000000,91548698,50427615,62.28,24,110,21.82,41121083,96,96,0,"N/A"
"DHARMENDRA PRADHAN","SAMBALPUR","Odisha","Lok Sabha",147000000,91453000,9704141,62.21,2,115,1.74,81748859,31,21,10,"N/A"
"KONDA VISHWESHWAR REDDY","CHELVELLA","Telangana","Lok Sabha",233721420.96,145225175,57338256,62.14,180,519,34.68,87886919,215,214,1,"N/A"
"Ravindra Shyamnarayan Alias Ravi Kishan Shukla","GORAKHPUR","Uttar Pradesh","Lok Sabha",147000000,91202258.78,12572509,62.04,0,96,0,78629749.78,10,10,0,"N/A"
"CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","Gujarat","Lok Sabha",147000000,91125607,59546562,61.99,100,209,47.85,31579045,211,208,3,"N/A"
"Mala Rajya Laxmi Shah ","TEHRI GARHWAL","Uttarakhand","Lok Sabha",147000000,90920802,57285791,61.85,84,224,37.5,33635011,371,367,4,"N/A"
"VISHAL","SANGLI","Maharashtra","Lok Sabha",147000000,90905332,21614077,61.84,11,84,13.1,69291255,22,20,2,"N/A"
"DR. PRABHA MALLIKARJUN","DAVANAGERE","Karnataka","Lok Sabha",147000000,90800000,57444696,61.77,5,93,5.38,33355304,90,90,0,"N/A"
"Faggan Singh Kulaste","MANDLA","Madhya Pradesh","Lok Sabha",151861648.41,93644136,55170668,61.66,31,298,10.4,38473468,290,286,4,"N/A"
"ASHISH DUBEY","JABALPUR","Madhya Pradesh","Lok Sabha",147000000,90627308,23263814,61.65,15,346,4.34,67363494,138,138,0,"N/A"
