"MP Name","Constituency","State","House","Allocated Amount (₹)","Amount Recommended (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Balance Not Yet Paid to Vendors (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"NAVEEN JINDAL","KURUKSHETRA","Haryana","Lok Sabha",147000000,82874956,61262363,56.38,118,200,59,21612593,257,255,2,"N/A"
"ANIL YESHWANT DESAI","MUMBAI SOUTH CENTRAL","Maharashtra","Lok Sabha",147000000,82800000,7792570,56.33,0,34,0,75007430,4,3,1,"N/A"
"Ajay Kumar Mandal","BHAGALPUR","Bihar","Lok Sabha",147000000,82721490,75252620,56.27,57,74,77.03,7468870,71,71,0,"N/A"
"DEVESH CHANDRA THAKUR","SITAMARHI","Bihar","Lok Sabha",163809205.11,92125840,41894417,56.24,119,201,59.2,50231423,129,129,0,"N/A"
"NIMUBEN JAYANTIBHAI BAMBHANIYA","BHAVNAGAR","Gujarat","Lok Sabha",147000000,82658143,25662379,56.23,28,85,32.94,56995764,34,34,0,"N/A"
"DINESHBHAI MAKWANA","AHMEDABAD WEST","Gujarat","Lok Sabha",160434965.11,89841605,25122452,56,2,207,0.97,64719153,4,4,0,"N/A"
"BAPI HALDAR","MATHURAPUR","West Bengal","Lok Sabha",147000000,82108066,39420540,55.86,89,169,52.66,42687526,102,101,1,"N/A"
"RAJESH VERMA","KHAGARIA","Bihar","Lok Sabha",147000000,81855498,74186362,55.68,67,76,88.16,7669136,69,69,0,"N/A"
"DR. HEMANT VISHNU SAVARA","PALGHAR","Maharashtra","Lok Sabha",147000000,81749000,12275200,55.61,1,85,1.18,69473800,15,11,4,"N/A"
"MANISH JAISWAL","HAZARIBAGH","Jharkhand","Lok Sabha",147000000,81513050,0,55.45,0,164,0,81513050,0,0,0,"N/A"
"Sanjay Haribhau Jadhav","PARBHANI","Maharashtra","Lok Sabha",147000000,81454456,40999822,55.41,28,84,33.33,40454634,49,49,0,"N/A"
"JITIN PRASADA","PILIBHIT","Uttar Pradesh","Lok Sabha",147000000,80889964,41842816,55.03,22,59,37.29,39047148,106,104,2,"N/A"
"BHARAT SINGH KUSHWAH","GWALIOR","Madhya Pradesh","Lok Sabha",151455276.04,83032458,13676652,54.82,4,126,3.17,69355806,41,40,1,"N/A"
"MANNA LAL RAWAT","UDAIPUR","Rajasthan","Lok Sabha",147000000,80297895,36354199,54.62,24,208,11.54,43943696,207,169,38,"N/A"
"Dr Sukanta Majumdar ","BALURGHAT","West Bengal","Lok Sabha",157085364.9,85690601.8,26156776,54.55,33,186,17.74,59533825.8,51,51,0,"N/A"
"Pradan Baruah","LAKHIMPUR","Assam","Lok Sabha",147000000,80049800,57613604,54.46,33,148,22.3,22436196,181,175,6,"N/A"
"RAHUL SINGH LODHI","DAMOH","Madhya Pradesh","Lok Sabha",163058785.37,88730852,72714957,54.42,176,299,58.86,16015895,342,341,1,"N/A"
"AMRARAM","SIKAR","Rajasthan","Lok Sabha",165691544.11,89877472,38165228,54.24,50,171,29.24,51712244,313,294,19,"N/A"
"Sudip Bandyopadhyay","KOLKATA UTTAR","West Bengal","Lok Sabha",147000000,79627830,46311063,54.17,9,37,24.32,33316767,31,31,0,"N/A"
"BISHNU PADA RAY","ANDAMAN AND NICOBAR ISLANDS","Andaman And Nicobar Islands","Lok Sabha",147000000,79615803,15498347,54.16,0,29,0,64117456,9,9,0,"N/A"
"Dushyant Singh","JHALAWAR-BARAN","Rajasthan","Lok Sabha",147000000,79498880,6025816,54.08,0,196,0,73473064,26,25,1,"N/A"
"Smt Sangeeta Kumari Singh Deo","BOLANGIR","Odisha","Lok Sabha",147000000,79450000,4193424,54.05,3,228,1.32,75256576,14,13,1,"N/A"
"MOHIBBULLAH","RAMPUR","Uttar Pradesh","Lok Sabha",147000000,78883489,74744421,53.66,219,336,65.18,4139068,344,344,0,"N/A"
"Kaushalendra Kumar","NALANDA","Bihar","Lok Sabha",147000000,78719429,45509064,53.55,92,170,54.12,33210365,97,92,5,"N/A"
"Khalilur Rahaman ","JANGIPUR","West Bengal","Lok Sabha",147000000,78631103,23028217,53.49,31,107,28.97,55602886,44,33,11,"N/A"
"Vellalath Kochukrishnan Nair Sreekandan","PALAKKAD","Kerala","Lok Sabha",167807990.11,89737781,50584788,53.48,100,205,48.78,39152993,127,125,2,1
"JOBA MAJHI","SINGHBHUM","Jharkhand","Lok Sabha",147000000,78210610,59054467,53.2,0,118,0,19156143,127,127,0,"N/A"
"MURARI LAL MEENA","DAUSA","Rajasthan","Lok Sabha",147000000,77844548,19094674,52.96,16,111,14.41,58749874,71,70,1,"N/A"
"RAHUL GANDHI","RAE BARELI","Uttar Pradesh","Lok Sabha",147000000,77809777,27068171,52.93,74,192,38.54,50741606,151,132,19,"N/A"
"Harsh Malhotra","EAST DELHI","Delhi","Lok Sabha",147134131,77657623,24390277,52.78,53,113,46.9,53267346,57,57,0,"N/A"
"GENIBEN NAGAJI THAKOR","BANASKANTHA","Gujarat","Lok Sabha",147000000,77476737,26332572,52.71,41,168,24.4,51144165,67,65,2,"N/A"
"IQRA CHOUDHARY","KAIRANA","Uttar Pradesh","Lok Sabha",147000000,77323182,50723960,52.6,45,92,48.91,26599222,62,55,7,"N/A"
"KISHORI LAL","AMETHI","Uttar Pradesh","Lok Sabha",171500000,89977309,82481354,52.46,19,52,36.54,7495955,75,71,4,"N/A"
"Ramesh Chandappa Jigajinagi","BIJAPUR","Karnataka","Lok Sabha",269500000,141386000,24205222,52.46,0,361,0,117180778,123,115,8,"N/A"
"NARESH CHANDRA UTTAM PATEL","FATEHPUR","Uttar Pradesh","Lok Sabha",147000000,76380995,28783210,51.96,13,81,16.05,47597785,49,49,0,"N/A"
"Sribharat MathuKumli","VISAKHAPATNAM","Andhra Pradesh","Lok Sabha",164841922,84715000,13181176,51.39,0,40,0,71533824,18,15,3,"N/A"
"BASTIPATI NAGARAJU PANCHALINGALA","KURNOOL","Andhra Pradesh","Lok Sabha",159998515.11,82033277,44033277,51.27,144,208,69.23,38000000,145,145,0,"N/A"
"Kani K Navas","RAMANATHAPURAM","Tamil Nadu","Lok Sabha",147000000,75293467,54855096,51.22,68,110,61.82,20438371,86,85,1,"N/A"
"V. SOMANNA","TUMKUR","Karnataka","Lok Sabha",147000000,75250000,32543790,51.19,4,61,6.56,42706210,27,17,10,"N/A"
"RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","Telangana","Lok Sabha",147000000,75209146,21423748,51.16,18,211,8.53,53785398,46,44,2,"N/A"
"AZAD KIRTI JHA","BARDHAMAN-DURGAPUR","West Bengal","Lok Sabha",179658399.98,90768485,33156887,50.52,6,112,5.36,57611598,30,29,1,"N/A"
"Dilip Saikia","Darrang-Udalguri","Assam","Lok Sabha",147000000,73850000,26230389,50.24,5,230,2.17,47619611,151,148,3,"N/A"
"B K PARTHASARATHI","HINDUPUR","Andhra Pradesh","Lok Sabha",160491894.11,80578656,49297701,50.21,52,92,56.52,31280955,66,64,2,"N/A"
"R.K. CHAUDHARY","MOHANLALGANJ","Uttar Pradesh","Lok Sabha",147000000,73785543,34622708,50.19,14,93,15.05,39162835,83,81,2,"N/A"
"VARUN CHAUDHRY","AMBALA","Haryana","Lok Sabha",255454264,125888476,29577311,49.28,3,157,1.91,96311165,107,99,8,"N/A"
"Smt Satabdi Roy (Banerjee)","BIRBHUM","West Bengal","Lok Sabha",147000000,72013235.6,48307379.6,48.99,62,95,65.26,23705855.999999993,67,67,0,"N/A"
"MOHITE PATIL DHAIRYASHEEL RAJSINH","MADHA","Maharashtra","Lok Sabha",195613601.7,95260000,8828612,48.7,41,259,15.83,86431388,41,41,0,"N/A"
"Ganesh Singh","SATNA","Madhya Pradesh","Lok Sabha",147000000,71551054,48076283,48.67,77,318,24.21,23474771,227,226,1,"N/A"
"Shri Jyotirmay Singh Mahato ","PURULIA","West Bengal","Lok Sabha",147000000,71300960,11711831,48.5,15,107,14.02,59589129,31,31,0,"N/A"
"Smt Anupriya Patel","MIRZAPUR","Uttar Pradesh","Lok Sabha",147000000,71228000,51732584,48.45,0,10,0,19495416,10,10,0,"N/A"
"Rao Rajendra Singh","JAIPUR RURAL","Rajasthan","Lok Sabha",147000000,71018558,15159151,48.31,10,104,9.62,55859407,36,34,2,"N/A"
"Smt Hema Malini","MATHURA","Uttar Pradesh","Lok Sabha",147000000,70743990,40721168,48.13,33,88,37.5,30022822,82,82,0,"N/A"
"Ravi Shankar Prasad","PATNA SAHIB","Bihar","Lok Sabha",147000000,70305274,56647683,47.83,60,85,70.59,13657591,66,66,0,"N/A"
"KULDEEP INDORA","GANGANAGAR","Rajasthan","Lok Sabha",147000000,69980074,11236750,47.61,2,92,2.17,58743324,68,49,19,"N/A"
"Smt Sandhya Ray","BHIND","Madhya Pradesh","Lok Sabha",147000000,69667619,25218035,47.39,61,129,47.29,44449584,158,158,0,"N/A"
"DARSHAN SINGH CHOUDHARY","HOSHANGABAD","Madhya Pradesh","Lok Sabha",147000000,69617611,30102552,47.36,49,459,10.68,39515059,315,303,12,"N/A"
"Shri Rajmohan Unnithan ","KASARAGOD","Kerala","Lok Sabha",156754633.11,72864151,29132579,46.48,56,207,27.05,43731572,121,111,10,"N/A"
"ATUL GARG","GHAZIABAD","Uttar Pradesh","Lok Sabha",155336470,72011362,42043789,46.36,36,77,46.75,29967573,49,43,6,"N/A"
"Krishan Pal Gurjar","FARIDABAD","Haryana","Lok Sabha",147000000,67877306,24858831,46.18,6,81,7.41,43018475,47,46,1,"N/A"
"Sanjay Uttamrao Deshmukh","YAVATMAL-WASHIM","Maharashtra","Lok Sabha",185640423,84781444.87,24518118,45.67,23,125,18.4,60263326.870000005,42,42,0,"N/A"
"AMAR SHARADRAO KALE","WARDHA","Maharashtra","Lok Sabha",147000000,67098342,31855968,45.65,29,109,26.61,35242374,39,38,1,"N/A"
"C.M.RAMESH","ANAKAPALLE","Andhra Pradesh","Lok Sabha",202531656.11,91302449,36002667,45.08,20,125,16,55299782,42,40,2,"N/A"
"Manoj Tiwari","NORTH EAST DELHI","Delhi","Lok Sabha",225843858,100426887,29733175,44.47,6,23,26.09,70693712,10,9,1,"N/A"
"ABDUL RASHID SHEIKH","BARAMULLAH","Jammu And Kashmir","Lok Sabha",154773472.11,68534493.46,27714021,44.28,44,163,26.99,40820472.45999999,70,67,3,"N/A"
"RUCHI VIRA","MORADABAD","Uttar Pradesh","Lok Sabha",147000000,64981775,52167110,44.21,165,273,60.44,12814665,559,559,0,"N/A"
"Praveen Khandelwal","CHANDINI CHOWK","Delhi","Lok Sabha",147470276,64665415.63,26487847,43.85,35,69,50.72,38177568.63,42,42,0,"N/A"
"MANISH TEWARI","CHANDIGARH","Chandigarh","Lok Sabha",178351443.75,77883199,31608858,43.67,31,112,27.68,46274341,130,126,4,"N/A"
"Appalanaidu Kalisetti","VIZIANAGARAM","Andhra Pradesh","Lok Sabha",147000000,62793800,22622767,42.72,36,118,30.51,40171033,57,56,1,"N/A"
"SHIVRAJ SINGH CHOUHAN","VIDISHA","Madhya Pradesh","Lok Sabha",147000000,62443125,38851625,42.48,10,107,9.35,23591500,128,128,0,"N/A"
"Bansuri Swaraj","NEW DELHI","Delhi","Lok Sabha",154306950,65464173,21775293,42.42,41,110,37.27,43688880,46,46,0,"N/A"
"Lavu Sri Krishna Devarayalu","NARASARAOPET","Andhra Pradesh","Lok Sabha",174009663.11,73620228,2402685,42.31,1,131,0.76,71217543,4,4,0,"N/A"
"KALYAN VAIJINATHRAO KALE","JALNA","Maharashtra","Lok Sabha",147000000,60101425,39254291,40.89,19,61,31.15,20847134,41,41,0,"N/A"
"Kishan Reddy Gangapuram","SECUNDERABAD","Telangana","Lok Sabha",147000000,58617994,4754322,39.88,0,38,0,53863672,5,5,0,"N/A"
"Sivanath Kesineni","VIJAYAWADA","Andhra Pradesh","Lok Sabha",147000000,58354032,6329561,39.7,1,29,3.45,52024471,3,3,0,"N/A"
"BHOJRAJ NAG","KANKER","Chhattisgarh","Lok Sabha",164672734.11,64980971,35985836,39.46,29,87,33.33,28995135,104,103,1,"N/A"
"RUDRA NARAYAN PANY","DHENKANAL","Odisha","Lok Sabha",155013957.11,60557000,4033241,39.07,0,81,0,56523759,23,22,1,"N/A"
"Prof Sougata Ray","DUM DUM","West Bengal","Lok Sabha",147000000,57354419,14046615,39.02,13,52,25,43307804,17,17,0,"N/A"
"ISHA KHAN CHOUDHURY","MALDAHA DAKSHIN","West Bengal","Lok Sabha",147000000,55024076,8567025,37.43,25,123,20.33,46457051,25,25,0,"N/A"
"Asaduddin Owaisi","HYDERABAD","Telangana","Lok Sabha",147000000,54353976,11172317,36.98,1,19,5.26,43181659,7,7,0,"N/A"
"CHARANJIT SINGH CHANNI","JALANDHAR","Punjab","Lok Sabha",147000000,53355792,27091985,36.3,58,207,28.02,26263807,221,209,12,"N/A"
"Shri Amit Shah","GANDHINAGAR","Gujarat","Lok Sabha",147000000,53162769,11529274,36.17,22,118,18.64,41633495,27,27,0,"N/A"
"Nityanand Rai","UJJARPUR","Bihar","Lok Sabha",147000000,52761039,22994739,35.89,40,88,45.45,29766300,50,50,0,"N/A"
"ANITA SUBHADARSHINI","ASKA","Odisha","Lok Sabha",147000000,50500000,13718448,34.35,20,142,14.08,36781552,35,32,3,"N/A"
"M. MALLESH BABU","KOLAR","Karnataka","Lok Sabha",147065957.11,50088000,40766132,34.06,3,76,3.95,9321868,122,121,1,"N/A"
"Prataprao Jadhav","BULDHANA","Maharashtra","Lok Sabha",147000000,50050000,1208028,34.05,0,68,0,48841972,2,2,0,"N/A"
"Mohamed Haneefa","LADAKH","Ladakh","Lok Sabha",161114542,54518000,6009392,33.84,0,55,0,48508608,8,8,0,"N/A"
"Rao Inderjit Singh","GURGAON","Haryana","Lok Sabha",147000000,47921028,22604866,32.6,15,46,32.61,25316162,26,22,4,"N/A"
"DR. PRADEEP KUMAR PANIGRAHY","BERHAMPUR","Odisha","Lok Sabha",147000000,46950000,0,31.94,0,111,0,46950000,0,0,0,"N/A"
"Yogendra Chandoliya","NORTH WEST DELHI","Delhi","Lok Sabha",147876307,46097107,12505354,31.17,11,59,18.64,33591753,16,14,2,"N/A"
"VAMSI KRISHNA GADDAM","PEDDAPALLE","Telangana","Lok Sabha",148451721.11,45914779,16373473,30.93,9,71,12.68,29541306,22,22,0,"N/A"
"Om Birla","KOTA","Rajasthan","Lok Sabha",163906956.6,50463952,28500390,30.79,15,61,24.59,21963562,91,90,1,"N/A"
"Shri Sudheer Gupta ","MANDSOUR","Madhya Pradesh","Lok Sabha",148988014.83,42019092,21420844,28.2,60,224,26.79,20598248,175,168,7,"N/A"
"Khagen Murmu","MALDAHA UTTAR","West Bengal","Lok Sabha",147000000,41221118,6003169,28.04,7,38,18.42,35217949,7,7,0,"N/A"
"BHAJAN LAL JATAV","KARAULI-DHOLPUR","Rajasthan","Lok Sabha",147000000,40283911,7253086,27.4,11,54,20.37,33030825,139,139,0,"N/A"
"SHIVMANGAL SINGH TOMAR","MORENA","Madhya Pradesh","Lok Sabha",147000000,38772294,20290158,26.38,28,66,42.42,18482136,90,90,0,"N/A"
"Balashowry Vallabbhaneni","MACHILIPATNAM","Andhra Pradesh","Lok Sabha",147000000,37625559,14363941,25.6,9,59,15.25,23261618,26,24,2,"N/A"
"Shyamkumar","RAMTEK","Maharashtra","Lok Sabha",147000000,37600000,5141086,25.58,1,34,2.94,32458914,6,5,1,"N/A"
"TRIVENDRA SINGH RAWAT","HARDWAR","Uttarakhand","Lok Sabha",147000000,37111003,9309458,25.25,3,44,6.82,27801545,16,16,0,"N/A"
"Pratap Chandra Sarangi","BALASORE","Odisha","Lok Sabha",147064254.11,36406000,2525000,24.76,10,127,7.87,33881000,10,10,0,"N/A"
"SELVAGANAPATHI T M","SALEM","Tamil Nadu","Lok Sabha",147000000,35380025.5,4244214,24.07,0,17,0,31135811.5,2,2,0,"N/A"
"Shri PP Chaudhary","PALI","Rajasthan","Lok Sabha",147000000,34153173,12964180,23.23,8,44,18.18,21188993,143,142,1,"N/A"
"Dr Jayanta Kumar Roy","JALPAIGURI","West Bengal","Lok Sabha",147000000,32603018,12082736,22.18,2,19,10.53,20520282,5,5,0,"N/A"
"Anurag Singh Thakur","HAMIRPUR","Himachal Pradesh","Lok Sabha",149570117.11,32981082,18791823,22.05,46,205,22.44,14189259,235,230,5,"N/A"
"Gajendra Singh Shekhawat","JODHPUR","Rajasthan","Lok Sabha",147000000,31164000,491827,21.2,0,33,0,30672173,1,1,0,"N/A"
"MANOHAR LAL","KARNAL","Haryana","Lok Sabha",147000000,30518470,16619897,20.76,1,19,5.26,13898573,13,13,0,"N/A"
"TANGELLA UDAY SRINIVAS","KAKINADA","Andhra Pradesh","Lok Sabha",199417886.76,40209964,18078040,20.16,6,22,27.27,22131924,11,10,1,"N/A"
"Ajay Tamta","ALMORA","Uttarakhand","Lok Sabha",147000000,29134406,4183680,19.82,3,148,2.03,24950726,100,83,17,"N/A"
"P C Mohan","BANGALORE CENTRAL","Karnataka","Lok Sabha",159995711.11,25927005,10439505,16.2,2,19,10.53,15487500,21,21,0,"N/A"
"Magunta Sreenivasulu Reddy","ONGOLE","Andhra Pradesh","Lok Sabha",147000000,22585400,12375873,15.36,1,19,5.26,10209527,11,9,2,"N/A"
"Dhairyasheel Sambhajirao Mane","HATKANANGLE","Maharashtra","Lok Sabha",147000000,21901717,7519206,14.9,4,17,23.53,14382511,5,5,0,"N/A"
"KUNDURU RAGHUVEER","NALGONDA","Telangana","Lok Sabha",162952022,23968401,7766945,14.71,6,29,20.69,16201456,9,9,0,"N/A"
"Smt Raksha Nikhil Khadse","RAVER","Maharashtra","Lok Sabha",153112586.11,19044664,5871973,12.44,3,10,30,13172691,3,3,0,"N/A"
"SMITA UDAY WAGH","JALGAON","Maharashtra","Lok Sabha",148107373.11,16031266,14030677,10.82,9,10,90,2000589,9,9,0,"N/A"
"Kalaben Mohanbhai Delkar","DADRA & NAGAR HAVELI","The Dadra And Nagar Haveli And Daman And Diu","Lok Sabha",147000000,14700000,0,10,0,2,0,14700000,0,0,0,"N/A"
"ANIL BALUNI","GARHWAL","Uttarakhand","Lok Sabha",147000000,13195000,2739441,8.98,1,12,8.33,10455559,8,8,0,"N/A"
"Bhupathiraju Srinivasa varma","NARASAPURAM","Andhra Pradesh","Lok Sabha",147000000,12000000,0,8.16,0,1,0,12000000,0,0,0,"N/A"
"Nishikant Dubey","GODDA","Jharkhand","Lok Sabha",147000000,4285510,1785510,2.92,0,2,0,2500000,1,1,0,"N/A"
"Shrikant Eknath Shinde","KALYAN","Maharashtra","Lok Sabha",147000000,2825000,325000,1.92,0,2,0,2500000,1,1,0,"N/A"
"Rajiv Ranjan (Lalan) Singh","MUNGER","Bihar","Lok Sabha",147000000,1000000,0,0.68,0,1,0,1000000,0,0,0,"N/A"
"HARISH CHANDRA MEENA","TONK-SAWAI MADHOPUR","Rajasthan","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"NARESH GANPAT MHASKE","THANE","Maharashtra","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"Sanjay Jaiswal","PASCHIM CHAMPARAN","Bihar","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"MISHA BHARTI","PATALIPUTRA","Bihar","Lok Sabha",147000000,0,0,0,0,0,0,0,0,0,0,"N/A"
"CHAVAN VASANTRAO BALWANTRAO","NANDED","Maharashtra","Lok Sabha",0,0,0,0,0,0,0,0,0,0,0,"N/A"
